Inicial Upcard Acoes Final Valor DealerFinal
3T 5 S 3T 13 55K
TK 5 S TK 20 55K
28 5 D 28Q 20 55K
7K 5 S 7K 17 55K
4T 5 S 4T 14 55K
47 5 D 447 15 55K
2J 5 S 2J 12 55K
6Q K H 6JQ 26 KK
26 K HS 269 17 KK
8Q K S 8Q 18 KK
7K K S 7K 17 KK
2T K HS 27T 19 KK
JQ K S JQ 20 KK
69 K H 689 23 KK
6T J H 6TJ 26 JA
56 J D 456 15 JA
TQ J S TQ 20 JA
2K J H 2QK 22 JA
TK J S TK 20 JA
89 J S 89 17 JA
TJ J S TJ 20 JA
69 4 S 69 15 468
QK 4 S QK 20 468
7Q 4 S 7Q 17 468
44 4 HS 444 12 468
8Q 4 S 8Q 18 468
TJ 4 S TJ 20 468
66 4 P 6J 16 468
26 4 HS 256 13 468
8Q 2 S 8Q 18 23JJA
26 2 HS 26K 18 23JJA
6J 2 S 6J 16 23JJA
8T 2 S 8T 18 23JJA
4K 2 S 4K 14 23JJA
6J 2 S 6J 16 23JJA
57 2 HS 567 18 23JJA
3K A H 3QK 23 8A
38 A HS 388 19 8A
4Q A H 47Q 21 8A
27 A HH 277Q 26 8A
JK A S JK 20 8A
9T A S 9T 19 8A
3T A H 39T 22 8A
39 7 H 39J 22 47Q
4A 7 HS 44A 19 47Q
2K 7 HS 27K 19 47Q
KA 7 - KA 21 47Q
8A 7 S 8A 19 47Q
47 7 D 47J 21 47Q
7T 7 S 7T 17 47Q
JA 6 - JA 21 6TJ
6J 6 S 6J 16 6TJ
33 6 P 38 11 6TJ
3Q 6 S 3Q 13 6TJ
25 6 HS 25J 17 6TJ
QA 6 - QA 21 6TJ
5J 6 S 5J 15 6TJ
3K 6 S 3K 13 6TJ
57 4 S 57 12 444K
QK 4 S QK 20 444K
8K 4 S 8K 18 444K
36 4 D 36T 19 444K
67 4 S 67 13 444K
9T 4 S 9T 19 444K
9T 4 S 9T 19 444K
6A 4 D 26A 19 22247
48 4 S 48 12 22247
79 4 S 79 16 22247
33 4 P 35 8 22247
3Q 4 S 3Q 13 22247
28 4 D 248 14 22247
79 4 S 79 16 22247
6Q 4 S 6Q 16 22247
4T 5 S 4T 14 56J
TT 5 S TT 20 56J
JK 5 S JK 20 56J
38 5 D 378 18 56J
KK 5 S KK 20 56J
JA 5 - JA 21 56J
25 5 HS 25T 17 56J
59 J HS 459 18 TJ
77 J HS 477 18 TJ
4K J HS 44K 18 TJ
9A J S 9A 20 TJ
49 J HH 499A 23 TJ
AA J P 6A 17 TJ
3A J - 3A 14 TJ
78 J H 778 22 TJ
59 T H 59K 24 7T
JQ T S JQ 20 7T
25 T HHS 25QA 18 7T
56 T D 56Q 21 7T
45 T HHS 2457 18 7T
7A T HS 79A 17 7T
7A T HS 27A 20 7T
89 T S 89 17 TQ
29 T D 29J 21 TQ
69 T H 69Q 25 TQ
TA T - TA 21 TQ
8A T S 8A 19 TQ
JQ T S JQ 20 TQ
JA T - JA 21 TQ
9A A S 9A 20 7AAA
5T A H 5TT 25 7AAA
KA A - KA 21 7AAA
TA A - TA 21 7AAA
7Q A S 7Q 17 7AAA
9A A S 9A 20 7AAA
34 A HHS 2348 17 7AAA
7K 3 S 7K 17 37J
5T 3 S 5T 15 37J
28 3 D 268 16 37J
37 3 D 367 16 37J
27 3 D 27A 20 37J
3K 3 S 3K 13 37J
3A 3 HHS 237A 13 37J
29 J D 239 14 JJ
TA J - TA 21 JJ
8Q J S 8Q 18 JJ
66 J HS 566 17 JJ
25 J HHS 2457 18 JJ
45 J HS 459 18 JJ
5J J H 5TJ 25 JJ
24 9 HD 2244 12 9J
TA 9 - TA 21 9J
67 9 H 67J 23 9J
5K 9 H 5QK 25 9J
7T 9 S 7T 17 9J
7T 9 S 7T 17 9J
KA 9 - KA 21 9J
TQ Q S TQ 20 TQ
TA Q - TA 21 TQ
28 Q HS 278 17 TQ
9A Q S 9A 20 TQ
3A Q HS 35A 19 TQ
9J Q S 9J 19 TQ
45 Q HS 459 18 TQ
78 K HH 578A 21 7K
55 K HS 559 19 7K
2J K HS 26J 18 7K
27 K HHS 2467 19 7K
4J K H 4JJ 24 7K
35 K HS 35J 18 7K
8J K S 8J 18 7K
9A 4 S 9A 20 46A
27 4 D 277 16 46A
QA 4 - QA 21 46A
6K 4 S 6K 16 46A
TA 4 - TA 21 46A
47 4 D 478 19 46A
9Q 4 S 9Q 19 46A
27 6 D 237 12 68T
TT 6 S TT 20 68T
22 6 P 22 4 68T
